# Analysis Group Name : Default Analysis Group
# Description : Including all applicable data files.
# Created By :dalesan@gmail.com
# Last Modified Date : 2016-11-30 10:02:51 AM
# Number of Experiments in Analysis Group : 1
# List of instrument types in the study that are imported : QuantStudio 7 Real-Time PCR System
# Normalization method : Endogenous Control = ACT2
# Reference Sample : KOC
# Reference Group : 
# Max CT : 40.0
# Confidence Level : 95.0

"Experiment Name","Barcode","Well","Biological Group Name","Sample Name","Target Name","Task","Amp Score","Amp Status","Cq Conf","Target Efficiency","Cq","Cq (Post IC)","Eq. Cq","Quantity","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline Stop","Tm1","Tm2","Tm3","Cq Mean","Cq SE","Intercept","R-Squared","Slope","Efficiency","Omit","FLAGS","AMPNC","AMPSCORE","BADROX","OFFSCALE","NOAMP","NOISE","SPIKE","NOSIGNAL","NOSAMPLE","EXPFAIL","BLFAIL","THOLDFAIL","CTFAIL","HIGHSD","OUTLIERRG","MAXCT","MPOUTLIER","MTP or TM","LOWROX","PRFLOW","PRFDROP","DRNMIN","CQCONF",
"2016-11-29 155711 7 HKS.eds","","A1","","WTC","ACT2","UNKNOWN","0.93588245","Amp","0.93389875","100.0","23.32004","23.32004","23.32004","-","true","0.04","true","3.0","20.0","77.59004","-","-","23.80701","0.29146847","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A2","","KOC","ACT2","UNKNOWN","0.91948205","Amp","0.93748206","100.0","23.559605","23.559605","23.559605","-","true","0.04","true","3.0","20.0","78.11721","-","-","23.240442","0.72098905","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A3","","OXC","ACT2","UNKNOWN","0.93941784","Amp","0.9535112","100.0","24.16251","24.16251","24.16251","-","true","0.04","true","3.0","21.0","77.45825","-","-","23.441368","0.2599927","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A4","","WTS","ACT2","UNKNOWN","0.94584525","Amp","0.9431295","100.0","25.578875","25.578875","25.578875","-","true","0.04","true","3.0","22.0","77.59004","-","-","25.65807","0.10955093","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A5","","KOS","ACT2","UNKNOWN","0.9507239","Amp","0.95078874","100.0","25.780334","25.780334","25.780334","-","true","0.04","true","3.0","22.0","77.59004","-","-","25.402859","0.35416052","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A6","","OXS","ACT2","UNKNOWN","0.95705503","Amp","0.9494228","100.0","24.63459","24.63459","24.63459","-","true","0.04","true","3.0","21.0","77.59004","-","-","25.070648","0.22241567","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A7","","No Sample","ACT2","NTC","0.0","No Amp","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.04","true","3.0","39.0","64.14726","77.32646","70.077896","-","-","-","-","-","-","false","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A9","","WTC","PP2AA","UNKNOWN","0.93737453","Amp","0.9515001","100.0","27.588614","27.588614","27.588614","-","true","0.04","true","3.0","24.0","77.59004","-","-","27.720566","0.2806649","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A10","","KOC","PP2AA","UNKNOWN","0.953392","Amp","0.95166457","100.0","27.567085","27.567085","27.567085","-","true","0.04","true","3.0","24.0","77.72183","-","-","27.31596","0.18841186","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-11-29 155711 7 HKS.eds","","A11","","OXC","PP2AA","UNKNOWN","0.961515","Amp","0.9451519","100.0","29.05765","29.05765","29.05765","-","true","0.04","true","3.0","26.0","77.59004","-","-","28.454226","0.22012743","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
